name,score
Philip Seymour Hoffman,3.70756
George Clooney,3.55325
Joel McKinnon Miller,3.50512
John Goodman,3.35802
Emma Bell,3.27484
Liam Neeson,3.07559
Benedict Cumberbatch,2.99078
Seth Rogen,2.95693
Brad Pitt,2.88363
Christopher Plummer,2.86845
Lottie Steer,2.86005
Karin Konoval,2.8277
Kristen Wiig,2.81142
Jordana Brewster,2.80683
Buck Taylor,2.75368
Liam Hemsworth,2.7518
Jake Gyllenhaal,2.69723
Lauren Bittner,2.67914
Hiroyuki Sanada,2.6427
Richard Armitage,2.62004
Matt Damon,2.58236
Josh Duhamel,2.56242
Justin Timberlake,2.55728
F. Murray Abraham,2.49243
Gerard Butler,2.4398
Drew Barrymore,2.43412
Daniel Craig,2.41909
Mathieu Amalric,2.36906
Ralph Fiennes,2.34322
Gwyneth Paltrow,2.30827
Mickey Rourke,2.28903
Lena Headey,2.2712
Jai Courtney,2.24318
Hugh Jackman,2.23037
Pen_lope Cruz,2.21559
Diane Kruger,2.18696
Rooney Mara,2.17117
FranÂçois Cluzet,2.14915
Jamie Foxx,2.13072
Natalie Portman,2.12341
Kevin Hart,2.09297
Benjamin Bratt,2.08484
Sebastian Stan,2.07427
Will Rothhaar,2.05385
Ben Kingsley,2.05245
Jason Lee,2.04125
Andy Serkis,2.02883
James Corden,2.02841
Emma Stone,2.01857
Hayley Atwell,2.00752
Chris Rock,1.99635
Dickie Gravois,1.98144
Emma Watson,1.96867
Keira Knightley,1.94482
Cate Blanchett,1.9249
Jessica Lowndes,1.91574
Zheng Xu,1.91061
Rihanna,1.89101
Dustin Hoffman,1.88386
Mila Kunis,1.88211
Michelle Monaghan,1.87404
Lily James,1.86068
Tom Hiddleston,1.85266
Shailene Woodley,1.85252
Jeremy Irvine,1.8492
Tom Cruise,1.84201
Robert De Niro,1.82884
Anna Kendrick,1.8014
Chris Pratt,1.79901
Bill Hader,1.78426
Isla Fisher,1.78174
Lisa Adam,1.77623
Tom McGrath,1.77409
Daren Kagasoff,1.76737
Dylan O'Brien,1.7654
Christopher Nicholas Smith,1.76396
Angelina Jolie,1.7585
Finley Jacobsen,1.75833
Charlie Hunnam,1.75461
Jude Law,1.74391
Mekhi Phifer,1.72964
Jennifer Ehle,1.72117
Scoot McNairy,1.7149
Scott Adsit,1.71437
Eric Bauza,1.71274
Owen Wilson,1.70583
Bruce Willis,1.69781
Rob Riggle,1.69612
Greg Kinnear,1.68855
Ko Shibasaki,1.68601
Miles Fisher,1.67568
Jay Chou,1.66679
Kevin Kline,1.65217
Kit Harington,1.63427
Quvenzhan_ Wallis,1.63411
Nicholas Hoult,1.62083
Kristin Chenoweth,1.59277
Ashton Kutcher,1.59043
Aml Ameen,1.58732
Dev Patel,1.57617
Michael Douglas,1.57599
Forest Whitaker,1.56718
Olivia Cooke,1.56591
Sharlto Copley,1.55624
Anushka Sharma,1.54277
Paul Walker,1.54171
Peter Mullan,1.53803
Kurt Fuller,1.52978
Ansel Elgort,1.52956
Jason Statham,1.52835
Helen George,1.52498
Idris Elba,1.52282
Tom Wilkinson,1.52209
Rosie Huntington-Whiteley,1.5176
Annie Rose Buckley,1.51127
Dwayne Johnson,1.50901
Ice Cube,1.5056
Jonathan Groff,1.50167
Sebastian Koch,1.49187
Timothy Olyphant,1.48889
Felicity Jones,1.48475
Harrison Ford,1.47931
Eva Green,1.46668
Steve Buscemi,1.46581
Melissa McCarthy,1.46036
Mark Strong,1.46017
Jamie Bell,1.45907
Gia Mantegna,1.45488
Kevin Nealon,1.45357
Chiwetel Ejiofor,1.4533
Chris Pine,1.45172
Kenny Chin,1.45021
Terry Crews,1.44821
Billy Crystal,1.44464
Chris Miller,1.44369
Marton Csokas,1.43714
Cameron Diaz,1.43492
Frank Aldridge,1.43455
Johnny Depp,1.42557
Chris Cooper,1.42521
Tom Prior,1.42453
Roger Barclay,1.412
Ashley Judd,1.40942
Teresa Palmer,1.40864
Omar Sy,1.40572
Blake Lively,1.40288
Adrian Martinez,1.39939
Shyloh Oostwald,1.39686
Domhnall Gleeson,1.38714
Taylor Kitsch,1.36406
Paul Giamatti,1.3507
Ellen Burstyn,1.34462
Jodie Foster,1.34176
Mark Chao,1.33715
Ed Oxenbould,1.33305
Zoe Saldana,1.32169
Jim Parsons,1.31849
Matthew Goode,1.31106
Nicolas Cage,1.31079
Bryce Dallas Howard,1.30857
Steve Wiebe,1.30542
Ian McShane,1.3005
Kelly Reilly,1.298
Meryl Streep,1.29128
Elizabeth Banks,1.28851
Michael Pe_a,1.27962
Eleanor Tomlinson,1.27473
Ashley Jensen,1.27122
Miori Takimoto,1.2711
Shia LaBeouf,1.26995
Elise Vargas,1.2695
Dakota Goyo,1.26542
Sarah Gadon,1.25847
Jake Johnson,1.25435
Jennifer Garner,1.25189
Emily Browning,1.24793
Elle Fanning,1.24529
Sean Bean,1.24479
Robin Williams,1.24453
Eddie Redmayne,1.2393
Rosamund Pike,1.23836
Famke Janssen,1.2332
Jonah Hill,1.23316
Jonathan Pryce,1.23116
Colin Firth,1.22858
Jeff Daniels,1.21826
Ken Watanabe,1.20859
Tim Conway,1.20634
Chris Evans,1.2001
Abbie Cornish,1.19817
Angourie Rice,1.19479
Bill Murray,1.19251
Carlos Alazraqui,1.1889
CJ Adams,1.187
Michael Rainey Jr.,1.18396
Rebecca Hall,1.18332
Alexandra Daddario,1.17854
Laurence Belcher,1.17766
Max Charles,1.17755
Christoph Waltz,1.1648
Amara Miller,1.16328
Emily Watson,1.16041
Patricia Clarkson,1.15161
Craig Berry,1.14822
Jamie Dornan,1.14783
Karen Disher,1.1442
Richard Madden,1.14025
Patrick Wilson,1.13844
Jennifer Connelly,1.1332
Jackson Nicoll,1.12854
B_r_nice Bejo,1.12257
Susan Sarandon,1.12212
Viola Davis,1.11984
Andrew Garfield,1.10987
Sanjay Dutt,1.10965
Russell Crowe,1.10601
Theo James,1.1055
Kelsey Grammer,1.10535
Kathy Bates,1.10535
Olga Kurylenko,1.10129
Damon Wayans Jr.,1.09944
Michael Fassbender,1.08945
Noomi Rapace,1.08731
Ki Hong Lee,1.07762
Olivia Wilde,1.06834
Al Pacino,1.05368
Josh Hutcherson,1.0528
Tony Amendola,1.0491
Paul Bettany,1.04356
Diego Klattenhoff,1.03898
Tom Hanks,1.03658
Rila Fukushima,1.03526
Channing Tatum,1.03176
Megan Fox,1.03092
Ward Horton,1.02531
Stacy Keach,1.02439
Rose Byrne,1.02307
Vin Diesel,1.02163
Paula Patton,1.01899
Ryan Reynolds,1.01762
Jeff Bridges,1.01298
Luke Evans,1.00141
Chloe Csengery,1.00101
Ty Burrell,0.998041
Kevin Spacey,0.98146
Peter Stormare,0.980935
Larry Guy the Cable,0.96858
ChloÂ« Grace Moretz,0.967694
Kevin James,0.961742
Jack Black,0.944575
Robert Pattinson,0.94189
Steve Carell,0.94116
Sylvester Stallone,0.941022
Ed Harris,0.939524
Rob Corddry,0.93656
Carla Gugino,0.933387
Aziz Ansari,0.933196
Baoqiang Wang,0.930832
Michael Shannon,0.924108
Geng Han,0.905597
Daniel Radcliffe,0.905053
Dwight Henry,0.898322
Aaron Paul,0.891151
Amy Poehler,0.889407
Amitabh Bachchan,0.88791
Jim Caviezel,0.885169
Billy Burke,0.879204
Denzel Washington,0.866278
Ben Barnes,0.865273
Maya Rudolph,0.863976
Sophie Kennedy Clark,0.863723
Vera Farmiga,0.862831
Stephen Dorff,0.861534
David Cross,0.85326
Abigail Spencer,0.848483
Katie Holmes,0.845335
Jesse Eisenberg,0.845279
Rosario Dawson,0.835077
Jason Bateman,0.826374
Sofia Scarpa Saldanha,0.821203
Anna Faris,0.815
Brendan Gleeson,0.8148
Ioan Gruffudd,0.814713
Charlie Rowe,0.810253
Ben Stiller,0.808393
Rachel Weisz,0.804006
James Franco,0.801899
Maggie Gyllenhaal,0.801812
Chris Hemsworth,0.801427
Brad Garrett,0.800486
Josie Ho,0.787855
Bradley Cooper,0.787354
Jeffrey Garcia,0.787058
Carlinhos Brown,0.782451
Jennifer Aniston,0.780336
Leonardo DiCaprio,0.770466
Neil Patrick Harris,0.768285
Jake T. Austin,0.760387
Tim Downie,0.758965
Simon Pegg,0.75601
Mark Wahlberg,0.754195
Nicole Kidman,0.749692
Angela Lansbury,0.748801
Woody Harrelson,0.744508
Gary Oldman,0.742582
Annabelle Wallis,0.740113
Morgan Freeman,0.734109
Garrett Hedlund,0.733911
Hideaki Anno,0.731415
Jason Clarke,0.729264
Julie Bowen,0.725828
Jaden Smith,0.725729
Kyle Gallner,0.710401
Keanu Reeves,0.709056
Eric Carte,0.706444
Sarah Wayne Callies,0.703451
Hailee Steinfeld,0.689507
Jayma Mays,0.677054
Steve Coogan,0.670614
Ray Winstone,0.669743
Emma Roberts,0.661898
Leslie Bibb,0.656254
Dominic Cooper,0.652624
Lauri Fraser,0.652354
Jason Segel,0.646655
Amy Adams,0.645757
Joel Kinnaman,0.642438
Ramon Rodriguez,0.637104
Steve Martin,0.633282
Antonio Banderas,0.625984
Blake Anderson,0.62461
Christopher Knights,0.619773
Carmen Ejogo,0.615667
Christian Bale,0.613861
Joel Courtney,0.611284
Peter Sarsgaard,0.608486
Charlie Day,0.605965
Daniel Huttlestone,0.595529
Madeleine Worrall,0.595425
Rhys Wakefield,0.593159
John Turturro,0.591231
Susan Brown,0.589867
Matthew McConaughey,0.584212
Emile Hirsch,0.584045
Allison Bills,0.582864
Tien You Chui,0.580247
Sacha Baron Cohen,0.579396
Jennifer Lawrence,0.576731
Kaley Cuoco,0.574682
Reese Witherspoon,0.570874
Abigail Breslin,0.561448
Adrian Quinton,0.560748
Mark Ruffalo,0.558287
Douglas Smith,0.553207
Tao Okamoto,0.549714
Robert Downey Jr.,0.547551
Mackenzie Foy,0.541034
Ninja,0.537918
Sullivan Stapleton,0.532366
James Marsden,0.528868
Ed Helms,0.527201
Taylor Lautner,0.522165
Hidetoshi Nishijima,0.515836
Mireille Enos,0.515537
Gregorio,0.49961
Craig T. Nelson,0.498715
Gil Birmingham,0.49799
Nat Wolff,0.496407
Jon Daly,0.496099
Dave Bautista,0.48933
Henry Cavill,0.479019
Ciar_n Hinds,0.476781
Geoffrey Rush,0.459033
Eddie Murphy,0.458411
Jay Baruchel,0.458238
Rowan Atkinson,0.452456
Logan Lerman,0.447782
Lisa Thoreson,0.442595
Jim Carrey,0.441375
Demi_n Bichir,0.441147
Stanley Tucci,0.43956
Thomas Haden Church,0.436047
Jack O'Connell,0.435447
Jenny Slate,0.433081
Michelle Pfeiffer,0.432031
Alex Pettyfer,0.430123
Imogen Poots,0.429242
James Caan,0.428005
Evangeline Lilly,0.426098
Carrie-Anne Moss,0.424511
Sandra Bullock,0.42299
Milla Jovovich,0.419469
Richard Roxburgh,0.419433
Samuel L. Jackson,0.417772
Margot Robbie,0.417297
Daniella Kertesz,0.415926
David Banner,0.414248
Emma Thompson,0.412635
Jason Sudeikis,0.407487
Charlotte Marshall-Fricker,0.402453
Casey Affleck,0.396583
Dane Cook,0.392473
Min-sik Choi,0.388401
Hank Azaria,0.380329
Arnold Schwarzenegger,0.376752
Jason Fricchione,0.373083
Jean Dujardin,0.370037
Leslie Mann,0.369509
Jason Patric,0.362889
Anne Le Ny,0.355281
Byung-hun Lee,0.353749
Don Cheadle,0.345259
Matthew Macfadyen,0.342007
Lombardo Boyar,0.340124
William Fichtner,0.337193
Kate Winslet,0.336441
Asa Butterfield,0.332799
Ian McKellen,0.323242
Martin Freeman,0.320654
Scarlett Johansson,0.319375
Zach Galifianakis,0.317427
Ben Affleck,0.31596
Dakota Johnson,0.308942
Jared Harris,0.30274
Zachary Quinto,0.294761
Paul Rudd,0.292874
Jack Quaid,0.282516
Aaron Taylor-Johnson,0.282109
Idina Menzel,0.281553
John Hurt,0.276631
Aaron Eckhart,0.266164
Ryan Potter,0.263655
Frank Grillo,0.259785
Nikolaj Coster-Waldau,0.259412
Rachel McAdams,0.259177
Lili Taylor,0.251168
Will Smith,0.245933
January Jones,0.233116
Ana Coto,0.227096
Ryan Gosling,0.224374
Zishan Yang,0.218372
Ewan McGregor,0.209584
Adam Sandler,0.207637
John Leguizamo,0.205128
Judi Dench,0.185079
Aamir Khan,0.179481
Will Ferrell,0.177702
Kristen Bell,0.170603
Jim Broadbent,0.162345
Nick Frost,0.15713
Sophie Okonedo,0.156895
Matt Walsh,0.154438
Joel Edgerton,0.149194
Nicholas D'Agosto,0.147908
Violante Placido,0.134534
Patrick Pearson,0.131853
Cole Konis,0.130455
Michael Caine,0.121221
Alan Rickman,0.115539
Terry Notary,0.115229
Michael Keaton,0.112463
Jessica Tuck,0.101658
Lucy Punch,0.0969505
Karl Urban,0.0849229
Daniel Henney,0.0814622
James McAvoy,0.0748821
Julianne Moore,0.0736378
Emily Blunt,0.0690531
Will Arnett,0.0645657
Zach Gilford,0.0603021
Zac Efron,0.0538095
Bo Huang,0.0471923
Johnny Knoxville,0.0423585
Russell Brand,0.00192366